순번,약국명칭,약국전화번호,약국소재지(도로명)
34,보은약국,051-632-8818,"부산광역시 남구 장고개로 6, 제에이호 (우암동)"
35,대학온누리약국,051-622-6421,부산광역시 남구 수영로 299 (대연동)
36,경희소망한약국,051-626-1714,"부산광역시 남구 용호로 34, 107호 (용호동, 일신프리빌리지상가)"
37,고은약국,051-628-9523,부산광역시 남구 석포로 76 (대연동)
38,행복약국,051-644-5862,부산광역시 남구 석포로 34 (감만동)
39,현대메디칼약국,051-631-5892,부산광역시 남구 고동골로78번길 12 (문현동)
40,대연약국,051-624-7484,부산광역시 남구 수영로 239 (대연동)
41,올리브약국,051-627-8889,"부산광역시 남구 오륙도로 85, 211-1호 (용호동, 오륙도 SK뷰 상가2)"
42,플러스온누리약국,051-627-6200,부산광역시 남구 수영로 340 (대연동)
43,현대로약국,051-642-8478,부산광역시 남구 우암로 68 (감만동)
44,마트약국,051-643-2865,부산광역시 남구 수영로 33 (문현동)
45,세계약국,051-628-8110,"부산광역시 남구 분포로 113, 1005동 308호 (용호동, 엘지메트로시티아파트)"
46,예스약국,051-611-5668,부산광역시 남구 용호로 198 (용호동)
47,희망약국,051-628-9533,부산광역시 남구 용호로 91 (용호동)
48,사랑약국,070-7504-1480,부산광역시 남구 수영로 228 (대연동)
49,대문약국,051-627-5677,부산광역시 남구 못골로 71 (대연동)
50,경화 약국,051-623-0515,부산광역시 남구 용호로 195-1 (용호동)
51,제일약국,051-626-6700,"부산광역시 남구 수영로 206, 정학기정형외과 1층 (대연동)"
52,알찬약국,051-625-2022,부산광역시 남구 수영로 244 (대연동)
53,유림약국,051-645-3407,부산광역시 남구 전포대로 69 (문현동)
54,새봄약국,051-611-2284,"부산광역시 남구 용호로42번길 14 (용호동, 현대 비치아파트 상가 110호)"
55,참좋은약국,051-623-2688,부산광역시 남구 용호로90번길 25 (용호동)
56,하나로약국,051-621-0528,부산광역시 남구 용호로 134 (용호동)
57,하이타운약국,051-627-6101,부산광역시 남구 천제등로 29 (대연동)
58,한아름약국,051-611-5801,부산광역시 남구 용호로 147 (용호동)
59,우암센텀약국,051-637-1637,"부산광역시 남구 유엔로 14 (우암동, 우암 센텀메디컬 1층)"
60,이화자연약국,051-612-2804,"부산광역시 남구 용호로 113, 301-2호 (용호동, 엘지메트로시티상가2)"
61,열린약국,051-635-7119,부산광역시 남구 우암로 73 (감만동)
62,희망약국,051-612-7585,부산광역시 남구 황령대로319번가길 158-4 (대연동)
63,이팜약국,051-645-1560,부산광역시 남구 전포대로91번길 47 (문현동)
64,유한약국,051-621-0040,부산광역시 남구 수영로 175 (대연동)
65,푸른약국,051-621-0040,부산광역시 남구 동명로 137 (용호동)
66,성원약국,051-647-4713,부산광역시 남구 우암로 52 (감만동)
67,소정약국,051-647-3207,부산광역시 남구 전포대로92번길 6 (문현동)
68,일동약국,051-612-0551,부산광역시 남구 수영로 209 (대연동)
69,평화약국,051-621-8042,부산광역시 남구 용호로232번길 25-5 (용호동)
70,성모메디칼약국,051-628-7004,부산광역시 남구 용호로232번길 25-5 (용호동)
71,메디칼천사약국,051-627-1004,부산광역시 남구 용호로232번길 25-3 (용호동)
72,하나약국,051-624-4780,부산광역시 남구 용호로198번길 2 (용호동)
73,우리약국,051-647-0553,부산광역시 남구 홍곡로 4 (감만동)
74,오륙도약국,051-622-2900,부산광역시 남구 용호로 173 (용호동)
75,라파온누리약국,051-632-6777,"부산광역시 남구 수영로 27, 1층 (문현동)"
76,싱싱약국,051-627-6209,부산광역시 남구 수영로 219 (대연동)
77,대지약국,051-622-8700,부산광역시 남구 용호로 189-2 (용호동)
78,신성약국,051-628-0818,부산광역시 남구 용호로42번길 75 (용호동)
79,21세기우리네약국,051-646-8260,부산광역시 남구 수영로 43 (문현동)
80,LG참약국,051-612-1472,"부산광역시 남구 분포로 111, 1001동 205호 (용호동, LG메트로시티상가)"
81,한마음약국,051-637-9417,부산광역시 남구 고동골로 16 (문현동)
82,자유약국,051-647-4911,"부산광역시 남구 유엔로 10, 1층 (우암동, 104.105.106호(뉴서울아파트상가))"
83,재민약국,051-637-0329,부산광역시 남구 수영로 30-11 (문현동)
84,한마음약국,051-627-6489,부산광역시 남구 수영로 298 (대연동)
85,한사랑약국,051-624-2045,부산광역시 남구 석포로 69-1 (대연동)
86,백세약국,051-632-2133,부산광역시 남구 못골로 26-1 (대연동)
87,대학당약국,051-646-2962,부산광역시 남구 장고개로 26 (우암동)
88,행복한약국,051-647-3345,부산광역시 남구 수영로 25 (문현동)
89,보건당약국,051-643-1562,부산광역시 남구 못골로 26 (대연동)
90,나라약국,051-622-8566,부산광역시 남구 수영로 252 (대연동)
91,온누리한빛약국,051-621-0636,부산광역시 남구 못골로12번길 86 (대연동)
92,우리약국,051-627-6315,부산광역시 남구 수영로250번가길 26 (대연동)
93,메디팜한신약국,051-625-8120,"부산광역시 남구 유엔평화로 152-2 (용당동, 한신상가)"
94,시민약국,051-625-8850,부산광역시 남구 동명로 135-1 (용호동)
95,온누리대광당약국,051-624-8668,부산광역시 남구 석포로 121 (대연동)
96,금호약국,051-625-1950,부산광역시 남구 동명로 139 (용호동)
97,명륜당약국,051-644-8423,부산광역시 남구 지게골로 28 (문현동)
98,은성약국,051-624-3106,부산광역시 남구 동명로164번길 100 (용호동)
99,현대약국,051-623-9510,부산광역시 남구 용호로 90 (용호동)
100,수아약국,051-626-7168,부산광역시 남구 동명로158번길 101 (용호동)
101,유명약국,051-634-4216,부산광역시 남구 못골로 24-1 (대연동)
102,온누리우당약국,051-625-0306,부산광역시 남구 용호로 213 (용호동)
103,배정약국,051-635-1977,부산광역시 남구 지게골로 28 (문현동)
104,우석약국,051-637-9935,부산광역시 남구 진남로 206 (문현동)
105,건강한약국,051-611-9559,부산광역시 남구 수영로 195-2 (대연동)
106,문화약국,051-624-0950,부산광역시 남구 석포로 128 (대연동)
107,건민약국,051-632-5267,부산광역시 남구 우암로 72 (감만동)
108,일광약국,051-636-3269,부산광역시 남구 홍곡로 12 (감만동)
109,우정약국,051-627-4441,부산광역시 남구 수영로 196 (대연동)
110,대흥천보약국,051-634-5810,부산광역시 남구 고동골로 80 (문현동)
111,신중앙약국,051-624-8875,부산광역시 남구 용호로 144 (용호동)
112,사상오체사성당약국,051-624-8875,부산광역시 남구 신선로 333 (용당동)
113,명진약국,051-623-6595,부산광역시 남구 용소로7번길 75 (대연동)
