연번,기관명,소재지,전화번호
65,세일약국,부산광역시 북구 만덕1로 7 (만덕동),051-341-6970
66,송약국,부산광역시 북구 시랑로 64-1 (구포동),051-332-4023
67,수정약국,부산광역시 북구 금곡대로 159 (화명동),051-364-1225
68,시장약국,"부산광역시 북구 효열로 221, 201호 (금곡동, 금곡제일상가)",051-362-5615
69,신제일사약국,부산광역시 북구 만덕대로 15 (덕천동),051-338-1588
70,싱글벙글약국,"부산광역시 북구 만덕대로 18, 금샘빌딩 106호 (덕천동)",051-338-8922
71,연암약국,부산광역시 북구 금곡대로 125 (덕천동),051-336-9103
72,오렌지약국,부산광역시 북구 효열로 75 (금곡동),051-361-3638
73,오즈약국,부산광역시 북구 금곡대로 284 (화명동),051-362-8858
74,온누리화목약국,부산광역시 북구 효열로 214-1 (금곡동),051-361-3009
75,왕약국,부산광역시 북구  금곡대로199번길  3 (화명동),070-4131-5043
76,우리약국,부산광역시 북구 화명대로 42 (화명동),051-333-5171
77,우신약국,부산광역시 북구 은행나무로 3 (만덕동),051-335-0977
78,우정약국,"부산광역시 북구 덕천로 188, 107호 (만덕동, 호산스포맥스)",051-337-7542
79,웃는약국,"부산광역시 북구 금곡대로 270, 화명동대림타운 1층 104호 (화명동)",051-947-5600
80,원약국,"부산광역시 북구 금곡대로 166, 상가동 3층 316호 (화명동, 롯데캐슬카이저)",051-363-4555
81,이상약국,부산광역시 북구 화명대로 35 (화명동),051-361-9988
82,이층에약국,"부산광역시 북구 금곡대로303번길 36, 스페이스303 202호 (화명동)",051-711-2234
83,이화약국,"부산광역시 북구 효열로 2, 204호 (금곡동, 율리벽산블루밍아파트)",051-363-5119
84,일등약국,"부산광역시 북구 백양대로 1025, 103,4호 (구포동, 협진태양아파트)",051-336-6966
85,정수약국,"부산광역시 북구 백양대로 1200, 정수빌딩 1층 105호 (덕천동)",051-343-2221
86,조약국,부산광역시 북구 시랑로 36 (구포동),051-335-5577
87,중앙약국,부산광역시 북구 만덕대로 41 (덕천동),051-331-0080
88,참고운약국,"부산광역시 북구 화명대로 34, 웰빙프라자 3층 (화명동)",051-363-5540
89,청명약국,"부산광역시 북구 금곡대로 27, 더청명빌딩 1층 (덕천동)",051-343-6604
90,초원약국,부산광역시 북구 만덕대로 80 (덕천동),051-337-0700
91,코오롱약국,부산광역시 북구 화명대로 40 (화명동),051-363-0089
92,푸른솔 한약국,"부산광역시 북구 화명대로 20, 2층 202호 (화명동)",051-363-1046
93,푸른솔약국,부산광역시 북구 만덕대로 58 (덕천동),051-335-0312
94,하나로약국,부산광역시 북구 금곡대로 469 (금곡동),051-868-9810
95,하나약국,부산광역시 북구 덕천로 235-1 (만덕동),051-342-5820
96,한독약국,"부산광역시 북구 만덕대로155번길 15 (덕천동, 덕천그린코아상가)",051-332-8626
97,한마음약국,"부산광역시 북구 시랑로 159, 한미빌딩 1층 (구포동)",051-337-9955
98,한빛약국,부산광역시 북구 만덕대로 36 (덕천동),051-337-7950
99,행복온누리약국,"부산광역시 북구 학사로 8, 크리스탈타워 1층 102호 (화명동)",051-365-4577
100,행복한온누리약국,"부산광역시 북구 금곡대로13번길 14, 1층 (덕천동)",051-337-3788
101,현대온누리약국,부산광역시 북구 시랑로 12-1 (구포동),051-335-2031
102,홍삼당약국,부산광역시 북구 시랑로 163 (구포동),051-336-1374
103,화명메디칼약국,부산광역시 북구 화명신도시로 120 (화명동),051-331-8525
104,화명새봄약국,"부산광역시 북구 화명대로 47, 1층 (화명동, 롯데마트)",051-365-7189
105,화명수약국,"부산광역시 북구 금곡대로 287, 3층 303호 (화명동, 삼한골든뷰)",051-364-5507
106,화명열린약국,"부산광역시 북구 금곡대로 312, 3층 (화명동)",051-363-8539
107,화인약국,"부산광역시 북구 금곡대로285번길 5, 101호 (화명동, 레지던스라움)",051-363-7272
108,힐링약국,부산광역시 북구 금곡대로 135 (덕천동),051-332-7584
