약국명칭,약국전화번호,약국소재지(도로명)
열린약국,051-753-2851,"부산광역시 수영구 연수로 419, 1층 (수영동)"
광안그린약국,051-752-7980,"부산광역시 수영구 광일로 49, 109동 상가109호 (광안동, 비치그린아파트)"
다올약국,051-758-7585,"부산광역시 수영구 수영로 577, 1층 (광안동)"
행복한약국,051-753-1888,"부산광역시 수영구 수영로 611, 1층 (광안동)"
7번약국,051-752-2525,"부산광역시 수영구 수영로 690-5, 102호 (광안동)"
디온약국,051-755-3178,"부산광역시 수영구 수영로 699, 102호 (수영동, 수영동디온플레이스)"
수영센텀약국,051-757-0021,"부산광역시 수영구 수영로 681, 1층 (광안동)"
소희약국,051-757-6365,"부산광역시 수영구 과정로 73, 1층 (망미동)"
삼익약국,051-622-9842,"부산광역시 수영구 광남로 12, 1층 (남천동)"
다정약국,051-817-6949,"부산광역시 수영구 수영로611번길 15, 1층 (광안동)"
스타약국,051-612-7645,"부산광역시 수영구 수영로 379, 1층 (남천동)"
수영조은약국,051-753-7282,"부산광역시 수영구 수영로611번길 9, 1층 (광안동)"
고은약국,070-7779-6261,"부산광역시 수영구 수영로725번길 4, 1층 (수영동, 본정형외과)"
푸른약국,051-759-4279,"부산광역시 수영구 수영로611번길 5, 1층 (광안동)"
큰소망약국,051-757-7000,"부산광역시 수영구 연수로 402, 탐메디컬빌딩 1층 (광안동)"
신세계약국,051-757-6880,"부산광역시 수영구 광남로 222, 101호 (민락동)"
수영건강약국,051-759-1319,"부산광역시 수영구 수영로 669, 1층 (광안동)"
미래약국,051-628-9991,"부산광역시 수영구 수영로 386-1, 1층 (남천동)"
진약국,051-714-7166,"부산광역시 수영구 연수로 266, 기업은행망미지점 1층 (망미동)"
광안서호약국,051-759-1688,부산광역시 수영구 광남로 121 (광안동)
남천약국,051-621-8383,부산광역시 수영구 수영로388번길 6 (남천동)
민트약국,051-992-5596,"부산광역시 수영구 광남로 203, 1층 (민락동)"
이화메디컬약국,051-761-4222,"부산광역시 수영구 수영로 710-1, 102호 (광안동)"
메가약국,051-622-5458,"부산광역시 수영구 황령대로 521, 1층 (남천동)"
우리약국,051-751-7674,"부산광역시 수영구 광안로 4, 광안동에스케이뷰 106동 104호 (광안동)"
동신약국,051-753-2276,부산광역시 수영구 수영로 521 (광안동)
제일약국,051-301-7823,부산광역시 수영구 광안해변로 431 (민락동)
엘림약국,051-624-7794,부산광역시 수영구 황령대로481번길 13 (남천동)
광안우리약국,051-752-0527,부산광역시 수영구 수영로 632 (광안동)
임호당약국,051-623-8772,"부산광역시 수영구 남천동로 41 (남천동, 하늘채@ 상가501동 10호)"
수영약국,051-754-6562,부산광역시 수영구 수영로 697 (수영동)
늘푸른약국,051-612-7875,부산광역시 수영구 수영로 390-1 (남천동)
대영약국,051-756-5040,부산광역시 수영구 연수로 423 (수영동)
포스코약국,051-755-3258,"부산광역시 수영구 연수로315번길 24, 306호 (망미동)"
목동약국,051-759-2146,부산광역시 수영구 수영성로 33-1 (수영동)
우리약국,051-612-6500,부산광역시 수영구 황령산로8번길 54 (남천동)
한사랑 약국,051-755-6181,부산광역시 수영구 수영로 637-3 (광안동)
현대 약국,051-759-5637,부산광역시 수영구 수영로741번길 29 (수영동)
메디칼약국,051-755-3070,"부산광역시 수영구 수영로 621, 1-1,1-2호 (광안동, 부광상가)"
명성 약국,051-752-5087,부산광역시 수영구 수영로 621 (광안동)
정약국,051-756-2631,부산광역시 수영구 수영로 602-2 (광안동)
이화약국,051-752-5223,부산광역시 수영구 연수로 378-2 (광안동)
조은약국,051-623-7673,부산광역시 수영구 수영로 491 (남천동)
늘푸른약국,051-752-5840,부산광역시 수영구 광남로 223 (민락동)
세림약국,051-621-0025,부산광역시 수영구 광남로 43 (남천동)
건강약국,051-761-1820,부산광역시 수영구 과정로 69 (망미동)
모자약국,051-751-0035,부산광역시 수영구 수영로 557 (광안동)
이화 약국,051-758-5791,부산광역시 수영구 수영로 565 (광안동)
세종약국,051-758-4915,부산광역시 수영구 광안해변로277번길 3 (민락동)
메디팜 정은주 약국,051-758-9110,부산광역시 수영구 광남로 224 (민락동)
광안약국,051-757-2656,부산광역시 수영구 광일로 40 (광안동)
동산약국,051-625-6264,"부산광역시 수영구 수영로464번길 9, 준정빌딩 (남천동)"
삼성약국,051-751-6266,부산광역시 수영구 망미로22번길 55 (망미동)
엄지약국,051-752-7453,부산광역시 수영구 수영로 513 (광안동)
삼화약국,051-626-2073,부산광역시 수영구 황령대로 491 (남천동)
남산약국,051-622-0811,부산광역시 수영구 수영로384번길 43 (남천동)
우리약국,051-756-0265,부산광역시 수영구 구락로 69 (망미동)
동산약국,051-754-7820,부산광역시 수영구 과정로 41 (망미동)
덕성약국,051-753-8251,부산광역시 수영구 광안해변로255번길 12 (민락동)
대한약국,051-752-4092,부산광역시 수영구 수영로 607-1 (광안동)
경화약국,051-753-9996,"부산광역시 수영구 수영로 592, 누구나 1층 (광안동)"
동림약국,051-754-1467,부산광역시 수영구 구락로75번길 4 (망미동)
동방약국,051-753-9483,부산광역시 수영구 감포로 2 (민락동)
영진약국,051-752-1316,부산광역시 수영구 수영로 707 (수영동)
동화약국,051-752-3607,부산광역시 수영구 수영로 582 (광안동)
바다약국,051-752-7118,부산광역시 수영구 광남로 108 (광안동)
무지개약국,051-752-1049,부산광역시 수영구 광서로 5-3 (광안동)
