순번,약국명칭,약국전화번호,약국소재지(도로명)
47,현대약국,051-552-3194,"부산광역시 동래구 금강공원로 3, 1층 (온천동)"
48,우리약국,051-503-5115,"부산광역시 동래구 아시아드대로 224, 1층 일부호 (온천동)"
49,비타민약국,051-558-9333,"부산광역시 동래구 명륜로 81, 1층 (수안동)"
50,국화약국,051-552-0974,"부산광역시 동래구 명륜로103번길 19, 1층 일부호 (명륜동, 청춘안과빌딩)"
51,사직참약사약국,051-502-8899,"부산광역시 동래구 사직북로 20 (사직동, 1층 일부)"
52,고운약국,051-959-3000,부산광역시 동래구 여고로113번길 74 (사직동)
53,스타약국,051-507-7902,"부산광역시 동래구 충렬대로 160, 1층 일부호 (온천동)"
54,하나약국,051-555-0200,"부산광역시 동래구 온천장로 123-1, 1층 일부호 (온천동, 드림메디컬)"
55,이소약국,051-558-3317,부산광역시 동래구 충렬대로107번길 106 (온천동)
56,활기약국,051-504-4010,부산광역시 동래구 아시아드대로 223 (온천동)
57,명인약국,051-501-6476,부산광역시 동래구 사직북로57번길 58 (사직동)
58,미래약국,051-507-1818,"부산광역시 동래구 사직북로 4, 1층 123호 (사직동, 사직동 자이언츠 파크)"
59,편한이웃약국,051-938-8000,"부산광역시 동래구 시실로24번길 5, 1층 102호 (명륜동)"
60,튼튼약국,051-531-7800,"부산광역시 동래구 충렬대로 384 (안락동, 동래아동병원)"
61,리본약국,051-555-1046,부산광역시 동래구 충렬대로255번길 4 (낙민동)
62,아이사랑약국,051-507-0700,부산광역시 동래구 아시아드대로 186 (사직동)
63,일등약국,051-527-3344,부산광역시 동래구 안연로109번길 21 (안락동)
64,화목약국,051-526-4245,부산광역시 동래구 충렬사로 45 (안락동)
65,수안메디컬약국,051-552-2009,부산광역시 동래구 충렬대로 239 (수안동)
66,새푸른약국,051-501-2266,부산광역시 동래구 아시아드대로 184 (사직동)
67,팜플러스온누리약국,051-553-5548,부산광역시 동래구 중앙대로 1523 (온천동)
68,늘푸른약국,051-503-0272,부산광역시 동래구 여고로113번길 78 (사직동)
69,우리안약국,051-554-3008,"부산광역시 동래구 중앙대로 1523, 103동 B층 04호 (온천동, SK허브스카이)"
70,삼성온누리약국,051-506-3466,부산광역시 동래구 사직로70번길 76 (사직동)
71,신성약국,051-552-6100,"부산광역시 동래구 충렬대로238번길 7, 118호 (수안동, 성완세띠앙)"
72,인촌약국,051-558-5088,부산광역시 동래구 충렬대로 248 (수안동)
73,김해약국,051-501-8891,부산광역시 동래구 사직북로19번길 6 (사직동)
74,신나는부부한약국,051-316-7588,"부산광역시 동래구 아시아드대로181번가길 94, 1층 일부호 (온천동)"
75,일동희보약국,051-502-6708,부산광역시 동래구 사직북로 24 (사직동)
76,제일약국,051-556-4111,"부산광역시 동래구 동래로148번길 24, 1층 일부호 (복천동)"
77,사랑약국,051-503-4130,부산광역시 동래구 아시아드대로 239 (온천동)
78,예담한약국,051-501-5501,부산광역시 동래구 사직북로19번길 17 (사직동)
79,정문약국,051-556-7117,부산광역시 동래구 충렬대로181번길 9 (명륜동)
80,큰나무약국,051-555-3980,부산광역시 동래구 금강공원로 2 (온천동)
81,광명약국,051-507-6067,부산광역시 동래구 충렬대로100번길 8 (온천동)
82,정원약국,051-555-0405,"부산광역시 동래구 충렬대로181번길 21, 1층 (명륜동)"
83,동래럭키약국,051-554-8275,"부산광역시 동래구 충렬대로181번길 21 (명륜동,외2필지)"
84,드림약국,051-528-3546,"부산광역시 동래구 안연로 64, 1층 (안락동)"
85,온천정문약국,051-555-8008,부산광역시 동래구 중앙대로1325번길 16 (온천동)
86,미소약국,051-505-8275,"부산광역시 동래구 여고로 8, 1층 (사직동)"
87,코끼리약국,051-532-0616,부산광역시 동래구 안연로109번길 24 (안락동)
88,하얀약국,051-522-2638,부산광역시 동래구 충렬대로 467 (안락동)
89,솔약국,051-503-5999,부산광역시 동래구 석사로 45-1 (사직동)
90,세계로약국,051-553-3131,부산광역시 동래구 충렬대로 249 (수안동)
91,햇살약국,051-555-0272,"부산광역시 동래구 중앙대로 1325, 107호 (온천동, 이센타워)"
92,희망온누리약국,051-529-1900,부산광역시 동래구 안연로109번길 25 (안락동)
93,새동래약국,051-555-6933,부산광역시 동래구 명륜로98번길 10 (수안동)
94,동인당한약국,051-554-7585,부산광역시 동래구 동래로 13 (온천동)
95,영일약국,070-7536-7894,"부산광역시 동래구 금강공원로 11, 1층 (온천동)"
96,21세기약국,051-668-2751,"부산광역시 동래구 중앙대로 1393, 롯데마트 지하1층 (온천동)"
97,푸른솔한약국,051-555-1981,부산광역시 동래구 충렬대로182번길 9 (명륜동)
98,햇살가득한 약국,051-552-7500,"부산광역시 동래구 중앙대로 1325, 1층 (온천동)"
99,대도약국,051-556-7890,부산광역시 동래구 금강공원로 28 (온천동)
100,럭키약국,051-553-0077,부산광역시 동래구 금강공원로 20 (온천동)
101,대동약국,051-528-5500,부산광역시 동래구 충렬대로348번길 8 (안락동)
102,반도웰스약국,051-504-2237,"부산광역시 동래구 아시아드대로 234, 205호 (온천동,반도상가)"
103,종근당약국,051-523-8356,부산광역시 동래구 안락로 19 (안락동)
104,서원약국,051-521-0770,부산광역시 동래구 안락로 17-1 (안락동)
105,명인약국,051-525-6776,부산광역시 동래구 충렬대로428번길 31 (안락동)
106,마디약국,051-522-8275,"부산광역시 동래구 안연로 115, 1층 일부호 (안락동)"
107,선약국,051-503-0288,부산광역시 동래구 여고북로 169 (온천동)
108,동래시장약국,051-553-3424,부산광역시 동래구 충렬대로 249-1 (수안동)
109,지리산약국,051-506-0599,부산광역시 동래구 아시아드대로228번길 22 (온천동)
110,박약국,051-556-5570,부산광역시 동래구 명륜로187번길 53 (명륜동)
111,보건온누리약국,051-555-8323,부산광역시 동래구 명륜로187번길 55 (명륜동)
112,성모약국,051-558-4265,"부산광역시 동래구 충렬대로107번길 54, 1-2호 (온천동,럭키쇼핑)"
113,도매당약국,051-502-6988,부산광역시 동래구 석사로 49 (사직동)
114,동남약국,051-503-7003,부산광역시 동래구 아시아드대로 225 (온천동)
115,대명약국,051-528-8181,부산광역시 동래구 명장로 142 (안락동)
116,청암한약국,051-557-1918,"부산광역시 동래구 충렬대로271번길 33, 1층 일부호 (수안동)"
117,미래약국,051-557-4735,부산광역시 동래구 중앙대로 1325 (온천동)
118,대성약국,051-557-6275,부산광역시 동래구 충렬대로181번길 25 (명륜동)
119,보건약국,051-525-8001,부산광역시 동래구 충렬대로459번길 21 (안락동)
120,메디팜자연약국,051-505-5554,부산광역시 동래구 사직북로 21 (사직동)
121,보생당약국,051-556-3130,부산광역시 동래구 충렬대로 91 (온천동)
122,천우약국,051-555-2777,"부산광역시 동래구 충렬대로 278, 1층 (낙민동)"
123,만수약국,051-528-3023,부산광역시 동래구 삼어로 1 (안락동)
124,동부산약국,051-555-5011,부산광역시 동래구 충렬대로359번길 6 (안락동)
125,조은약국,051-521-0927,부산광역시 동래구 충렬대로 431 (안락동)
126,삼진당약국,051-504-2866,부산광역시 동래구 여고북로 172-18 (사직동)
127,조왕약국,051-501-6577,부산광역시 동래구 아시아드대로 193-1 (사직동)
128,건강플러스약국,051-505-6818,"부산광역시 동래구 쇠미로81번길 22, 101호 (사직동, 삼정2차 주상가)"
129,금정약국,051-502-1165,부산광역시 동래구 여고북로 167 (온천동)
130,온천약국,051-557-0911,부산광역시 동래구 온천장로 81-1 (온천동)
131,백제약국,051-503-8922,부산광역시 동래구 미남로 74 (사직동)
132,대지온누리약국,051-528-6271,부산광역시 동래구 명서로 154 (명장동)
133,온누리유한약국,051-531-5525,부산광역시 동래구 충렬대로359번길 62 (안락동)
134,푸른약국,051-526-5533,부산광역시 동래구 명안로85번길 52 (명장동)
135,오오약국,051-527-6727,부산광역시 동래구 명안로85번길 45 (명장동)
136,은하약국,051-523-2155,부산광역시 동래구 명안로85번길 48 (명장동)
137,하나약국,051-554-8388,부산광역시 동래구 안락로 12 (안락동)
138,세종약국,051-523-5152,부산광역시 동래구 명장로48번길 21 (명장동)
139,녹십자약국,051-502-9537,부산광역시 동래구 사직북로28번길 61 (사직동)
140,광제약국,051-506-0365,부산광역시 동래구 여고북로 192 (사직동)
141,제일약국,051-523-5341,부산광역시 동래구 안락로 39 (안락동)
142,메디팜새한약국,051-502-9879,부산광역시 동래구 여고로113번길 25 (사직동)
143,남영약국,051-555-9655,부산광역시 동래구 충렬대로 252-1 (수안동)
