약국명칭,약국전화번호,약국소재지(도로명)
맑은약국,051-582-9051,부산광역시 금정구 중앙대로 2025 (남산동)
남산비타민약국,051-517-0047,"부산광역시 금정구 금강로 713, 1층 (남산동)"
유한약국,051-522-0913,"부산광역시 금정구 서명로 17, 1층 (서동)"
정다운약국,051-528-6121,"부산광역시 금정구 서동로 166, 1층 (서동)"
소망약국,051-516-6445,"부산광역시 금정구 중앙대로 1701, 1층 (부곡동)"
구서약국,051-515-7117,"부산광역시 금정구 구서로 23, 1층 (구서동)"
온누리새나라약국,051-521-5575,"부산광역시 금정구 서동로 155, 1층 (서동)"
샘솟는약국,051-512-2253,"부산광역시 금정구 중앙대로 2027, 1층 (남산동)"
다사랑약국,051-513-7811,"부산광역시 금정구 벅구산로 2, 1층 101,102호 (남산동, 누리마을)"
금샘약국,051-583-3111,"부산광역시 금정구 금강로 711, 1층 (남산동)"
허브약국,051-517-6920,"부산광역시 금정구 온천장로 131, 1층 (장전동, 우성빌딩)"
메디칼명성약국,051-583-9393,"부산광역시 금정구 중앙대로1841번길 15, 1층 (구서동)"
보건약국,051-514-0666,"부산광역시 금정구 온천장로 132, 1층 (장전동)"
금정온누리약국,051-514-2220,"부산광역시 금정구 중앙대로1763번길 7, 1층 (부곡동)"
신세계약국,051-521-8959,"부산광역시 금정구 서동로 154, 1층 (서동)"
수약국,051-583-9976,"부산광역시 금정구 금정로 149, 1층 (장전동)"
하나약국,051-512-2420,"부산광역시 금정구 식물원로 59, 1층 102호 (장전동, BK오피스텔)"
현대약국,051-512-7606,"부산광역시 금정구 중앙대로 2005, 1층 (남산동)"
건강약국,051-512-4589,"부산광역시 금정구 금강로415번길 2, 1층 (구서동)"
동상약국,051-529-8772,"부산광역시 금정구 서동로 151, 1층 (서동)"
금사약국,051-581-3940,부산광역시 금정구 금사로 57 (서동)
모범약국,051-583-7501,"부산광역시 금정구 가마실로 25, 1층 (부곡동)"
부산약국,051-583-1884,"부산광역시 금정구 부곡로 115, 1층 (부곡동)"
메디칼약국,051-518-9880,"부산광역시 금정구 수림로 15, 1층 (부곡동)"
동의약국,051-524-6133,"부산광역시 금정구 서동로 161, 1층 (서동)"
온누리남산약국,051-514-0900,"부산광역시 금정구 두실로 36, 1층 (남산동)"
참약국,051-582-5523,"부산광역시 금정구 중앙대로1719번길 16, 1층 (부곡동)"
롯데약국,051-583-6881,"부산광역시 금정구 구서로 17, 1층 (구서동)"
현대약국,051-521-2666,"부산광역시 금정구 서동로 165, 1층 (서동)"
스마일약국,051-581-8945,"부산광역시 금정구 범어천로38번길 1, 1층 (남산동)"
정다운약국,051-582-3692,"부산광역시 금정구 부곡로 118, 1층 (부곡동)"
대학약국,051-514-3937,"부산광역시 금정구 부산대학로49번길 17, 1층 (장전동)"
세인약국,051-517-3311,부산광역시 금정구 부곡로 112 (부곡동)
수강약국,051-508-0929,"부산광역시 금정구 두구로 79, 1층 (두구동)"
백제약국,051-514-1677,부산광역시 금정구 온천장로125번길 38 (장전동)
일선약국,051-513-0574,"부산광역시 금정구 금강로 565, 1층 (구서동)"
성경약국,051-532-2377,"부산광역시 금정구 금사로 118, 1층 (금사동)"
동신약국,051-518-1795,"부산광역시 금정구 금강로 180, 1층 (장전동)"
팔송보건약국,051-581-0661,"부산광역시 금정구 중앙대로 2101, 1층 (남산동)"
하약국,051-513-1123,"부산광역시 금정구 서동로 75-2, 1층 (서동)"
두실약국,051-582-1090,"부산광역시 금정구 중앙대로 1943, 1층 (구서동)"
동서약국,051-522-6318,"부산광역시 금정구 서동중심로 61, 1층 (서동)"
진성약국,051-513-9620,"부산광역시 금정구 부곡로 93, 1층 (부곡동)"
화신약국,051-518-6066,"부산광역시 금정구 부곡로 43, 1층 (부곡동)"
부곡약국,051-581-5657,"부산광역시 금정구 부곡로 78, 1층 (부곡동)"
메디팜대성약국,051-582-1772,"부산광역시 금정구 금강로 206-1, 1층 (장전동)"
