구군명,급식기관명,사무명,연락처,지원내용
동구,동구 자성대노인복지관,식사배달,051-632-7597,주 5회(이상) 무료급식(1일 1식) 지원
동구,동구자성대노인복지관,밑반찬배달,051-632-7597,주2회 밑반찬 배달 지원
동구,봉생노인복지센터,식사배달,051-465-5151,주 5회(이상) 무료급식(1일 1식) 지원
동구,동구무료급식소,경로식당,051-638-9227,주 5회(이상) 무료급식(1일 1식) 지원
영도구,영도구종합사회복지관,경로식당,051-413-4661,주 5회(이상) 무료급식(1일 1식) 지원
영도구,영도구종합사회복지관,식사배달,051-413-4661,주 5회(이상) 무료급식(1일 1식) 지원
영도구,영도구종합사회복지관,밑반찬배달,051-413-4661,주2회 밑반찬 배달 지원
영도구,동삼종합사회복지관,경로식당,051-405-2133,주 5회(이상) 무료급식(1일 1식) 지원
영도구,동삼종합사회복지관,식사배달,051-405-2133,주 5회(이상) 무료급식(1일 1식) 지원
영도구,동삼종합사회복지관,밑반찬배달,051-405-2133,주2회 밑반찬 배달 지원
영도구,상리종합사회복지관,경로식당,051-404-4003,주 5회(이상) 무료급식(1일 1식) 지원
영도구,상리종합사회복지관,식사배달,051-404-4003,주 5회(이상) 무료급식(1일 1식) 지원
영도구,상리종합사회복지관,밑반찬배달,051-404-4003,주2회 밑반찬 배달 지원
영도구,와치종합사회복지관,경로식당,051-403-4200,주 5회(이상) 무료급식(1일 1식) 지원
영도구,와치종합사회복지관,식사배달,051-403-4200,주 5회(이상) 무료급식(1일 1식) 지원
영도구,와치종합사회복지관,밑반찬배달,051-403-4200,주2회 밑반찬 배달 지원
영도구,절영종합사회복지관,경로식당,051-404-5530,주 5회(이상) 무료급식(1일 1식) 지원
영도구,절영종합사회복지관,식사배달,051-404-5530,주 5회(이상) 무료급식(1일 1식) 지원
영도구,절영종합사회복지관,밑반찬배달,051-404-5530,주2회 밑반찬 배달 지원
영도구,영도구노인복지관,경로식당,051-417-6344,주 5회(이상) 무료급식(1일 1식) 지원
영도구,영도구노인복지관,식사배달,051-417-6344,주 5회(이상) 무료급식(1일 1식) 지원
영도구,영도구노인복지관,밑반찬배달,051-417-6344,주2회 밑반찬 배달 지원
부산진구,부산진구종합사회복지관,경로식당,051-893-0035,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,부산진구종합사회복지관,식사배달,051-893-0035,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,부산진구종합사회복지관,밑반찬배달,051-893-0035,주2회 밑반찬 배달 지원
부산진구,개금종합사회복지관,경로식당,051-896-5034,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,개금종합사회복지관,식사배달,051-896-5034,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,개금종합사회복지관,밑반찬배달,051-896-5034,주2회 밑반찬 배달 지원
부산진구,당감종합사회복지관,경로식당,051-896-2320,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,당감종합사회복지관,식사배달,051-896-2320,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,당감종합사회복지관,밑반찬배달,051-896-2320,주2회 밑반찬 배달 지원
부산진구,전포종합사회복지관,경로식당,051-802-6383,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,전포종합사회복지관,식사배달,051-802-6383,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,전포종합사회복지관,밑반찬배달,051-802-6383,주2회 밑반찬 배달 지원
부산진구,부산진구노인복지관,경로식당,051-808-8090,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,부산진구노인복지관,식사배달,051-808-8090,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,부산진구노인복지관,밑반찬배달,051-808-8090,주2회 밑반찬 배달 지원
부산진구,부산진구종합재가노인복지센터,경로식당,051-951-0100,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,부산진구종합재가노인복지센터,식사배달,051-951-0100,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,부산진구종합재가노인복지센터,밑반찬배달,051-951-0100,주2회 밑반찬 배달 지원
부산진구,(복) 양정재가노인복지센터,경로식당,051-866-0454,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,(복) 양정재가노인복지센터,식사배달,051-866-0454,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,(복) 양정재가노인복지센터,밑반찬배달,051-866-0454,주2회 밑반찬 배달 지원
부산진구,(사) 신빈회 부설 요셉의집,경로식당,051-898-0506,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,(사) 신빈회 부설 요셉의집,식사배달,051-898-0506,주 5회(이상) 무료급식(1일 1식) 지원
부산진구,(사) 신빈회 부설 요셉의집,밑반찬배달,051-898-0506,주2회 밑반찬 배달 지원
부산진구,범천2동무료급식소,경로식당,051-646-0611,주 5회(이상) 무료급식(1일 1식) 지원
동래구,동래구노인복지관,경로식당,051-554-6252,주 5회(이상) 무료급식(1일 1식) 지원
동래구,동래구노인복지관,밑반찬배달,051-554-6252,주2회 밑반찬 배달 지원
동래구,사직노인복지센터,밑반찬배달,051-506-3416,주2회 밑반찬 배달 지원
남구,남구노인복지관,경로식당,051-628-1291,주 5회(이상) 무료급식(1일 1식) 지원
남구,남구노인복지관,식사배달,051-628-1291,주 5회(이상) 무료급식(1일 1식) 지원
남구,남구노인복지관,밑반찬배달,051-628-1291,주2회 밑반찬 배달 지원
남구,용호종합사회복지관,경로식당,051-628-6737,주 5회(이상) 무료급식(1일 1식) 지원
남구,용호종합사회복지관 부설 용호재가노인지원서비스센터,식사배달,051-628-6737,주 5회(이상) 무료급식(1일 1식) 지원
남구,용호종합사회복지관 부설 용호재가노인지원서비스센터,밑반찬배달,051-628-6737,주2회 밑반찬 배달 지원
남구,남구종합사회복지관(지게골복지관),경로식당,051-647-0136,주 5회(이상) 무료급식(1일 1식) 지원
남구,남구종합사회복지관,식사배달,051-647-0136,주 5회(이상) 무료급식(1일 1식) 지원
남구,남구종합사회복지관,밑반찬배달,051-647-0136,주2회 밑반찬 배달 지원
남구,감만종합사회복지관,경로식당,051-634-3415,주 5회(이상) 무료급식(1일 1식) 지원
남구,감만종합사회복지관,식사배달,051-634-3415,주 5회(이상) 무료급식(1일 1식) 지원
남구,감만종합사회복지관,밑반찬배달,051-634-3415,주2회 밑반찬 배달 지원
북구,공창종합사회복지관,경로식당,051-363-2063,주 5회(이상) 무료급식(1일 1식) 지원
북구,공창종합사회복지관,식사배달,051-363-2063,주 5회(이상) 무료급식(1일 1식) 지원
북구,동원종합사회복지관,경로식당,051-361-0045,주 5회(이상) 무료급식(1일 1식) 지원
북구,동원종합사회복지관,식사배달,051-361-0045,주 5회(이상) 무료급식(1일 1식) 지원
북구,금곡종합사회복지관,경로식당,051-365-2211,주 5회(이상) 무료급식(1일 1식) 지원
북구,금곡종합사회복지관,식사배달,051-365-2211,주 5회(이상) 무료급식(1일 1식) 지원
북구,화정종합사회복지관,경로식당,051-362-0111,주 5회(이상) 무료급식(1일 1식) 지원
북구,화정종합사회복지관,식사배달,051-362-0111,주 5회(이상) 무료급식(1일 1식) 지원
북구,덕천종합사회복지관,경로식당,051-331-4674,주 5회(이상) 무료급식(1일 1식) 지원
북구,덕천종합사회복지관,식사배달,051-331-4674,주 5회(이상) 무료급식(1일 1식) 지원
북구,화명종합사회복지관,경로식당,051-338-2233,주 5회(이상) 무료급식(1일 1식) 지원
북구,화명종합사회복지관,밑반찬배달,051-338-2233,주2회 밑반찬 배달 지원
북구,만덕종합사회복지관,경로식당,051-332-8004,주 5회(이상) 무료급식(1일 1식) 지원
북구,만덕종합사회복지관,밑반찬배달,051-332-8004,주2회 밑반찬 배달 지원
북구,남산정종합사회복지관,경로식당,051-342-8206,주 5회(이상) 무료급식(1일 1식) 지원
북구,남산정종합사회복지관,식사배달,051-342-8206,주 5회(이상) 무료급식(1일 1식) 지원
북구,부산삼동재가 노인지원서비스센터,밑반찬배달,051-343-5685,주2회 밑반찬 배달 지원
북구,실버벨노인종합복지관,식사배달,051-337-5959,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,장산노인복지관,경로식당,051-704-9141,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,반송종합사회복지관,경로식당,051-544-8006,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,해운대종합사회복지관,식사배달,051-782-5005,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,해운대종합사회복지관,밑반찬배달,051-782-5005,주2회 밑반찬 배달 지원
해운대구,운봉종합사회복지관,경로식당,051-543-2431,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,운봉종합사회복지관,식사배달,051-543-2431,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,운봉종합사회복지관,밑반찬배달,051-543-2431,주2회 밑반찬 배달 지원
해운대구,영진종합사회복지관,경로식당,051-529-0005,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,영진종합사회복지관,식사배달,051-529-0005,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,영진종합사회복지관,밑반찬배달,051-529-0005,주2회 밑반찬 배달 지원
해운대구,반석종합사회복지관,경로식당,051-542-0196,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,반석종합사회복지관,식사배달,051-542-0196,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,반석종합사회복지관,밑반찬배달,051-542-0196,주2회 밑반찬 배달 지원
해운대구,반여종합사회복지관,경로식당,051-784-0554,주 5회(이상) 무료급식(1일 1식) 지원
해운대구,반여종합사회복지관,밑반찬배달,051-784-0554,주2회 밑반찬 배달 지원
해운대구,파랑새종합사회복지관,식사배달,051-545-0115,주 5회(이상) 무료급식(1일 1식) 지원
사하구,다대종합사회복지관,경로식당,051-264-5420,주 5회(이상) 무료급식(1일 1식) 지원
사하구,다대종합사회복지관,식사배달,051-264-5420,주 5회(이상) 무료급식(1일 1식) 지원
사하구,다대종합사회복지관,밑반찬배달,051-264-5420,주2회 밑반찬 배달 지원
사하구,구평종합사회복지관,밑반찬배달,051-263-3045,주2회 밑반찬 배달 지원
사하구,사하구종합사회복지관,경로식당,051-293-2688,주 5회(이상) 무료급식(1일 1식) 지원
사하구,사하구종합사회복지관,식사배달,051-293-2688,주 5회(이상) 무료급식(1일 1식) 지원
사하구,사하구종합사회복지관,밑반찬배달,051-293-2688,주2회 밑반찬 배달 지원
사하구,사하사랑채노인복지관,경로식당,051-293-9544,주 5회(이상) 무료급식(1일 1식) 지원
사하구,신장림사랑채노인복지관,경로식당,051-266-8515,주 5회(이상) 무료급식(1일 1식) 지원
사하구,신장림사랑채노인복지관,식사배달,051-266-8515,주 5회(이상) 무료급식(1일 1식) 지원
사하구,인창노인복지센터,식사배달,051-204-3472,주 5회(이상) 무료급식(1일 1식) 지원
사하구,두송종합사회복지관,경로식당,051-265-9471,주 5회(이상) 무료급식(1일 1식) 지원
사하구,두송종합사회복지관,식사배달,051-265-9471,주 5회(이상) 무료급식(1일 1식) 지원
사하구,두송종합사회복지관,밑반찬배달,051-265-9471,주2회 밑반찬 배달 지원
사하구,몰운대종합사회복지관,경로식당,051-264-9033,주 5회(이상) 무료급식(1일 1식) 지원
사하구,몰운대종합사회복지관,식사배달,051-264-9033,주 5회(이상) 무료급식(1일 1식) 지원
사하구,몰운대종합사회복지관,밑반찬배달,051-264-9033,주2회 밑반찬 배달 지원
금정구,금정구종합사회복지관,경로식당,051-512-1455,주 5회(이상) 무료급식(1일 1식) 지원
금정구,금정구노인복지관,경로식당,051-792-7200,주 5회(이상) 무료급식(1일 1식) 지원
금정구,동부경로식당,경로식당,051-529-9018,주 5회(이상) 무료급식(1일 1식) 지원
금정구,부곡경로식당,경로식당,051-518-1397,주 5회(이상) 무료급식(1일 1식) 지원
금정구,서동경로식당,경로식당,051-527-4132,주 5회(이상) 무료급식(1일 1식) 지원
금정구,평화나눔경로식당,경로식당,,주 5회(이상) 무료급식(1일 1식) 지원
금정구,금정구재가노인복지기관,식사배달,051-532-0115,주 5회(이상) 무료급식(1일 1식) 지원
금정구,금정구재가노인복지기관,밑반찬배달,051-532-0115,주2회 밑반찬 배달 지원
금정구,애광재가노인지원서비스센터,식사배달,051-997-1458,주 5회(이상) 무료급식(1일 1식) 지원
금정구,애광재가노인지원서비스센터,밑반찬배달,051-997-1458,주2회 밑반찬 배달 지원
강서구,강서구노인종합복지관,경로식당,051-972-4851,주 5회(이상) 무료급식(1일 1식) 지원
강서구,강서구노인종합복지관,식사배달,051-972-4851,주 5회(이상) 무료급식(1일 1식) 지원
강서구,강서구노인종합복지관,밑반찬배달,051-972-4851,주2회 밑반찬 배달 지원
강서구,강서구종합사회복지관,경로식당,051-972-4591,주 5회(이상) 무료급식(1일 1식) 지원
강서구,강서구종합사회복지관,식사배달,051-972-4591,주 5회(이상) 무료급식(1일 1식) 지원
강서구,강서구종합사회복지관,밑반찬배달,051-972-4591,주2회 밑반찬 배달 지원
강서구,낙동종합사회복지관,경로식당,051-271-0560,주 5회(이상) 무료급식(1일 1식) 지원
강서구,낙동종합사회복지관,밑반찬배달,051-271-0560,주2회 밑반찬 배달 지원
연제구,거제종합사회복지관,경로식당,051-507-8174,주 5회(이상) 무료급식(1일 1식) 지원
연제구,부산광역시노인종합복지관,경로식당,051-853-1873,주 5회(이상) 무료급식(1일 1식) 지원
연제구,부산광역시노인종합복지관,식사배달,051-853-1873,주 5회(이상) 무료급식(1일 1식) 지원
연제구,부산광역시노인종합복지관,밑반찬배달,051-853-1873,주2회 밑반찬 배달 지원
연제구,연제구노인복지관,경로식당,051-863-9988,주 5회(이상) 무료급식(1일 1식) 지원
연제구,연제구노인복지관,밑반찬배달,051-863-9988,주2회 밑반찬 배달 지원
연제구,연제종합사회복지관,경로식당,051-863-8360,주 5회(이상) 무료급식(1일 1식) 지원
연제구,연제종합사회복지관,식사배달,051-863-8360,주 5회(이상) 무료급식(1일 1식) 지원
수영구,부산종합사회복지관,경로식당,051-758-4445,주 5회(이상) 무료급식(1일 1식) 지원
수영구,부산종합사회복지관,식사배달,051-758-4445,주 5회(이상) 무료급식(1일 1식) 지원
수영구,부산종합사회복지관,밑반찬배달,051-758-4445,주2회 밑반찬 배달 지원
수영구,홀트수영종합사회복지관,밑반찬배달,051-760-3600,주2회 밑반찬 배달 지원
수영구,수영구노인복지관,경로식당,051-759-6070,주 5회(이상) 무료급식(1일 1식) 지원
사상구,모라종합사회복지관,경로식당,051-304-9876,주 5회(이상) 무료급식(1일 1식) 지원
사상구,모라종합사회복지관,식사배달,051-304-9876,주 5회(이상) 무료급식(1일 1식) 지원
사상구,모라종합사회복지관,밑반찬배달,051-304-9876,주2회 밑반찬 배달 지원
사상구,백양종합사회복지관,경로식당,051-305-4286,주 5회(이상) 무료급식(1일 1식) 지원
사상구,백양종합사회복지관,식사배달,051-305-4286,주 5회(이상) 무료급식(1일 1식) 지원
사상구,백양종합사회복지관,밑반찬배달,051-305-4286,주2회 밑반찬 배달 지원
사상구,학장종합사회복지관,경로식당,051-311-4017,주 5회(이상) 무료급식(1일 1식) 지원
사상구,학장종합사회복지관,식사배달,051-311-4017,주 5회(이상) 무료급식(1일 1식) 지원
사상구,학장종합사회복지관,밑반찬배달,051-311-4017,주2회 밑반찬 배달 지원
사상구,사상구노인복지관,경로식당,051-325-7555,주 5회(이상) 무료급식(1일 1식) 지원
사상구,사상구노인복지관,식사배달,051-325-7555,주 5회(이상) 무료급식(1일 1식) 지원
사상구,기장군노인복지관,경로식당,051-792-4818,주 5회(이상) 무료급식(1일 1식) 지원
기장군,기장군노인복지관 일광분관,경로식당,051-792-4909,주 5회(이상) 무료급식(1일 1식) 지원
기장군,정관노인복지관,경로식당,051-792-4975,주 5회(이상) 무료급식(1일 1식) 지원
기장군,기장읍경로식당,경로식당,070-8838-0564,주 5회(이상) 무료급식(1일 1식) 지원
기장군,정관읍경로식당,경로식당,070-8834-0561,주 5회(이상) 무료급식(1일 1식) 지원
기장군,장안읍경로식당,경로식당,051-727-0759,주 5회(이상) 무료급식(1일 1식) 지원
기장군,일광면경로식당,경로식당,070-8843-0562,주 5회(이상) 무료급식(1일 1식) 지원
기장군,철마면경로식당,경로식당,,주 5회(이상) 무료급식(1일 1식) 지원
기장군,기장군노인복지관,식사배달,051-792-4818,주 5회(이상) 무료급식(1일 1식) 지원
기장군,기장군노인복지관,밑반찬배달,051-792-4818,주2회 밑반찬 배달 지원
기장군,장안읍경로식당,식사배달,051-727-0759,주 5회(이상) 무료급식(1일 1식) 지원
