관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26710-00011,근린공원,근린공원,,부산광역시 기장군 정관읍 달산리 1036,35.31742069,129.1863713,11188.4,크로스켠트리외 3종,조합놀이대외 2종,화장실,,사각파고라외 3종,2006-12-27,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00012,정관제1호공원,근린공원,,부산광역시 기장군 정관읍 달산리 1096,35.3173771,129.1931154,29597.6,윗몸일으키기외 2종,,,,육각정자외 1종,2006-12-27,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00013,강변공원,근린공원,,부산광역시 기장군 정관읍 달산리 1245,35.32017985,129.1952393,16735.5,평행봉 외 9종,,음수대 등,,파고라 외 7종,2008-12-24,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00014,윗골공원,근린공원,부산광역시 기장군 정관읍 정관8로 11,부산광역시 기장군 정관읍 매학리 709,35.3238211,129.177611,22770.2,,조합놀이대외 2종,,도서관,일자의자 외 1종,2008-12-24,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00015,중앙공원,근린공원,부산광역시 기장군 정관읍 구연3로 27,부산광역시 기장군 정관읍 매학리 742,35.322188,129.1818961,21629.1,,,화장실 등,야외무대,파고라 외 6종,2006-06-05,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00016,솔빛공원,근린공원,,부산광역시 기장군 정관읍 모전리 674,35.34237246,129.1627777,29482.1,배근력대 외 2종,,,,팔각정자 외 5종,2006-06-05,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00017,물빛공원,근린공원,,부산광역시 기장군 정관읍 모전리 677,35.34093214,129.1665054,19832.9,배근력대 외 4종,조합놀이대외 1종,화장실 등,,그늘집 외 4종,2006-06-05,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00018,솔마루공원,근린공원,,부산광역시 기장군 정관읍 모전리 726,35.33632361,129.1648789,10805,크로스켠트리 외 12종,조합놀이대 외 4종,음수대 등,,사각파고라외 8종,2006-06-05,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00019,죽향공원,근린공원,,부산광역시 기장군 정관읍 모전리 756,35.3332331,129.1696399,10014.2,배드민턴지주 등,조합놀이대 외 5종,음수대 등,,파고라 외 4종,2006-06-05,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00020,소두방공원,근린공원,부산광역시 기장군 정관읍 정관중앙로 100,부산광역시 기장군 정관읍 방곡리 442,35.32529082,129.1817313,307577.1,농구대 외 16종,,이동식 화장실 외2종,도서관,팔각정자 외 6종,2006-06-05,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00021,구목정공원,근린공원,,부산광역시 기장군 정관읍 용수리 1354,35.32444477,129.1734904,26798.3,농구대 외 2종,조합놀이대 외 1종,움수대,,사각정자 외 5종,2006-06-05,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00022,나무누리공원,근린공원,,부산광역시 기장군 정관읍 용수리 1356,35.327531,129.1660343,12806.5,평행잡기 외 13종,,음수대 등,,파고라 외 3종,2006-06-05,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00023,물너울공원,근린공원,,부산광역시 기장군 정관읍 용수리 1405,35.3203296,129.1730771,11476.5,배드민턴네트 외 7종,조합놀이대 외 3종,음수대 등,,파고라 외 5종,2008-09-24,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00024,거님길공원,근린공원,,부산광역시 기장군 철마면 고촌리 683,35.23803877,129.1692506,46182,2단철봉 외 12종,,,,긴일자벤치 외 7종,2010-06-01,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00025,희망공원,어린이공원,,부산광역시 기장군 기장읍 교리 325,35.2532881,129.213168,1928,평행봉 5종,조합놀이 외 2종,,,등받이벤치,2005-04-13,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00026,우정공원,어린이공원,,부산광역시 기장군 기장읍 교리 341,35.25342658,129.2165471,1506.1,3단철봉 7종,조합놀이대 외 1종,음수대 등,,야외테이블 외 2종,2003-06-12,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00027,소망공원,어린이공원,,부산광역시 기장군 기장읍 교리 346,35.2517341,129.2160541,1503.2,허리돌리기 외 4종,조합놀이대 외 4종,음수대 등,,파고라 외 2종,1998-02-26,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00028,충효공원,어린이공원,,부산광역시 기장군 기장읍 교리 358,35.2537151,129.2190711,1705.9,옆파도 외 6종,조합놀이대 외 6종,,,원형벤치 외 4종,1998-02-26,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00029,물결마당공원,어린이공원,,부산광역시 기장군 기장읍 내리 773,35.20571237,129.2048021,2621.3,3단 철봉 외 3종,조합놀이대 등,,,등받이 벤치 외 1종,2009-06-30,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00030,뜰마루마당공원,어린이공원,,부산광역시 기장군 기장읍 내리 788,35.20541285,129.2068557,3776.5,양팔줄당기기2인 외 1종,조합놀이대 외 2종,,,파고라 외 3종,2009-06-30,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00031,꽃내음마당공원,어린이공원,,부산광역시 기장군 기장읍 내리 797,35.2019611,129.2069131,1769,배드민턴장 외 3종,조합놀이대 외 2종,,,파고라 외 3종,2009-06-30,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00032,아름공원,어린이공원,,부산광역시 기장군 기장읍 대라리 124-3,35.24152444,129.2142111,813.7,3단철봉 외 6종,조합놀이대 외 2종,,,일자벤치 외 1종,1998-02-26,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00033,해바라기공원,어린이공원,,부산광역시 기장군 기장읍 대라리 171,35.23617435,129.2153827,2417.3,평행봉 외 8종,조합놀이 외 1종,,,등받이벤치 외 1종,1998-02-26,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00034,민들레공원,어린이공원,,부산광역시 기장군 기장읍 대라리 182,35.2357811,129.2120221,2496,배드민턴 외 9종,조합놀이 외 4종,,,파고라 외 1종,1998-02-26,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00035,은하수공원,어린이공원,,부산광역시 기장군 기장읍 대라리 246,35.2389282,129.2096572,1530,어깨근육2인 외 3종,조합놀이 외 1종,,,등받이벤치 외 1종,2005-10-05,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00036,봉대공원,어린이공원,,부산광역시 기장군 기장읍 대라리 922,35.24187393,129.2086019,2399.1,양팔줄당기기 외 6종,조합놀이 외 6종,,,파고라 외 3종,2003-07-18,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00037,백두공원,어린이공원,부산광역시 기장군 기장읍 차성남로28번길 6,부산광역시 기장군 기장읍 대라리 1004,35.2409766,129.2109708,1736.6,평행봉 외 7종,조합놀이 외 2종,,,파고라 외 2종,1998-02-26,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00038,비둘기공원,어린이공원,,부산광역시 기장군 기장읍 동부리 138,35.24735554,129.2149956,1830.4,3단철봉 외 1종,조합놀이대 외 2종,,,일반벤치 외 5종,2003-06-12,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00039,새마을공원,어린이공원,부산광역시 기장군 기장읍 차성동로 88-8,부산광역시 기장군 기장읍 동부리 141-1,35.24525627,129.2183895,4598,윗몸일으키기 외 12종,조합놀이대 외 4종,관리사무소 외 1개소,기장항일운동기념탑,정자 외 4종,2009-12-02,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00040,통일공원,어린이공원,,부산광역시 기장군 기장읍 동부리 160,35.24599964,129.2156441,1531.2,평행봉 외 6종,조합놀이 외 4종,화장실,,등받이벤치 외 4종,1998-02-26,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00041,무궁화공원,어린이공원,부산광역시 기장군 기장읍 차성동로102번길 19,부산광역시 기장군 기장읍 동부리 362-8,35.24683781,129.2180415,1826,윗몸일으키기 외 3종,조합놀이대 외 1종,,,벤치 외 2종,2000-05-22,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00042,동해공원,어린이공원,,부산광역시 기장군 기장읍 동부리 376-6,35.2492351,129.2187875,1500.4,거꾸리 외 7종,조합놀이 외 4종,,,파고라 외 2종,1998-02-26,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00043,수령공원,어린이공원,,부산광역시 기장군 기장읍 서부리 62-6,35.24727931,129.2099571,1870.1,어깨근육풀기 외 3종,조합놀이 외 3종,,,등받이벤치 외 2종,2007-09-12,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00044,주공공원,어린이공원,,부산광역시 기장군 기장읍 서부리 105,35.2449941,129.2100891,2057.1,농구대 등,미끄럼틀 외 2종,,,등받이벤치 외 1종,2001-12-06,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00045,남산공원,어린이공원,,부산광역시 기장군 기장읍 서부리 403,35.2505951,129.2102831,2558.9,온몸허리돌리기 외 15종,조합놀이대 외 4종,,,일자벤치 외 4종,2001-04-07,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00046,현대공원,어린이공원,,부산광역시 기장군 기장읍 청강리 22-2,35.2433921,129.2201996,1527,,조합놀이대 외 2종,,,원두막 외 1종,1998-02-26,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00047,도라지공원,어린이공원,,부산광역시 기장군 기장읍 청강리 149,35.2360871,129.2213661,1969.9,3단철봉 외 2종,조합놀이대 외 2종,,,등받이벤치 외 4종,2007-12-24,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00048,덕발공원,어린이공원,,부산광역시 기장군 기장읍 청강리 190-2,35.1406871,129.1320521,3462,어께근육풀기 외 7종,조합놀이대 외 6종,화장실 외 1개소,,일자벤치 외 3종,2010-10-13,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00049,개나리공원,어린이공원,,부산광역시 기장군 기장읍 청강리 295,35.23746387,129.2175711,2482.1,양팔줄당기기 외 7종,조합놀이 외 1종,음수대 등,,파고라 외 4종,2003-06-12,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00050,진달래공원,어린이공원,,부산광역시 기장군 기장읍 청강리 143,35.23980222,129.2225149,1992.4,3단철봉 외 6종,조합놀이대 외 2종,,,등받이벤치 외 4종,2007-12-24,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00051,월내1,어린이공원,부산광역시 기장군 장안읍 월내2길 10-21,부산광역시 기장군 장안읍 월내리 257-6,35.32897223,129.2798411,4578,윗몸일으키기 외 7종,조합놀이 외 3종,,,벤치 외 1종,2006-08-30,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00052,효암공원,어린이공원,,부산광역시 기장군 장안읍 임랑리 386-1,35.3150477,129.2595161,1679.9,3단철봉 외 1종,조합놀이대 외 1종,,,일자벤치 외 3종,2001-01-13,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00052,좌천3어린이공원,어린이공원,,부산광역시 기장군 장안읍 좌천리 72-12,35.31093947,129.2405198,1758,하체흔들기 외 3종,조합놀이대 외 2종,음수대 등,,파고라외 5종,2006-08-03,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00053,별님공원,어린이공원,부산광역시 기장군 일광면 삼성3길 39,부산광역시 기장군 일광면 삼성리 46-1,35.26473152,129.2350143,950,3단철봉 등,조합놀이 외 1종,경로당 등,,파고라 외 2종,1999-04-26,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00054,강송정공원,어린이공원,,부산광역시 기장군 일광면 이천리 844,35.26548722,129.2355213,1590,온몸허리돌리기 외 9종,조합놀이 외 2종,,충효기념비,일자벤치 외 4종,2002-06-23,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00055,햇님공원,어린이공원,,부산광역시 기장군 일광면 이천리 782-1,35.1604851,129.1409971,2128,윗몸일으키기 외 10종,조합놀이 외 2개,,,사각벤치 외 3종,2006-12-05,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00056,뵤뵤공원,어린이공원,,부산광역시 기장군 정관읍 매학리 769-5,35.3200411,129.1829511,1830.2,평행봉 외 2종,조합놀이대 외 2종,,,평의자 외 2종,2002-01-31,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00057,제1호어린이공원,어린이공원,,부산광역시 기장군 정관읍 달산리 1054,35.31521992,129.1818252,1885.1,족구지주 외 3종,유아놀이기구 등,,,파고라 외 2종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00058,제2호어린이공원,어린이공원,,부산광역시 기장군 정관읍 달산리 1124-7,35.32013941,129.204051,1653,족구지주 외 3종,유아놀이기구 등,,,파고라 외 2종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00059,나래울공원,어린이공원,,부산광역시 기장군 정관읍 달산리 1198,35.3208811,129.1847064,2199.1,농구대 등,조합놀이대 외 3종,,,파고라 외 3종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00060,동구래공원,어린이공원,,부산광역시 기장군 정관읍 달산리 1208,35.31854956,129.1882085,2000.1,허리돌리기 외 2종,조합놀이대 외 3종,,,파고라 외 3종,2002-01-31,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00061,햇돌공원,어린이공원,,부산광역시 기장군 정관읍 매학리 722,35.31981854,129.1755274,1995.3,,조합놀이대 외 4종,,,파고라 외 3종,2002-01-31,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00062,애솔공원,어린이공원,,부산광역시 기장군 정관읍 매학리 796,35.3188404,129.1826084,2194.1,배드민터코트 외 4종,조합놀이대 외 3종,,,평의자 외 2종,2002-01-31,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00063,모전공원,어린이공원,,부산광역시 기장군 정관읍 모전리 690,35.33641556,129.1705005,2719.4,농구대 외 4종,조합놀이대 외 4종,,,파고라 외 2종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00064,바람개비공원,어린이공원,,부산광역시 기장군 정관읍 모전리 709,35.3396806,129.1587328,2358.6,배근력대 외 3종,조합놀이대 외 4종,,,등의자 외 3종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00065,둥지공원,어린이공원,,부산광역시 기장군 정관읍 모전리 718,35.34010345,129.1617723,1927.7,배근력대 외 2종,조합놀이대 외 4종,,,파고라 외 3종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00066,새늘공원,어린이공원,,부산광역시 기장군 정관읍 모전리 733,35.33474186,129.1634449,2000.9,배근력대 외 3종,조합놀이대 외 3종,,,평의자 외 2종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00067,하늘아리공원,어린이공원,,부산광역시 기장군 정관읍 모전리 773,35.33121835,129.1652844,2000,배근력대 외 2종,조합놀이대 외 4종,,,파고라 외 3종,2002-01-31,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00068,옛터공원,어린이공원,,부산광역시 기장군 정관읍 방곡리 389-3,35.32647927,129.1899849,2121.1,허리돌리기 외 2종,조합놀이대 외 1종,,,파고라 외 2종,2002-01-31,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00069,꽃보라공원,어린이공원,,부산광역시 기장군 정관읍 방곡리 411,35.32305743,129.1874162,2449.9,어깨근육풀기 외 2종,흔들놀이외 1종,,,평의자 외 2종,2002-01-31,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00070,산골공원,어린이공원,,부산광역시 기장군 정관읍 용수리 1277,35.32959312,129.1812926,2026.5,배드민턴 지주대  등,조합놀이대 외 5종,,,평의자 외 2종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00071,어울공원,어린이공원,,부산광역시 기장군 정관읍 용수리 1290-3,35.32749948,129.1799784,1871.8,,조합놀이대 외 2종,,,팔각정자 외 1종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00072,해오름공원,어린이공원,,부산광역시 기장군 정관읍 용수리 1300,35.32727921,129.1815608,1912.1,,조합놀이대 외 4종,,,파고라 외 종 1종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00073,동그라미공원,어린이공원,,부산광역시 기장군 정관읍 용수리 1320,35.32632549,129.1750687,2102.7,배드민턴 지주대  등,조합놀이대 외 2종,,,평의자 외 2종,2001-10-25,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00074,해밀공원,어린이공원,,부산광역시 기장군 정관읍 용수리 1361,35.32563042,129.1686472,2000.1,배근력대 외 2종,조합놀이대 외 4종,,,파고라 외 3종,2002-01-31,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00075,얼레공원,어린이공원,,부산광역시 기장군 정관읍 용수리 1394,35.3224931,129.1712167,5427.3,배근력대 외 3종,조합놀이대 외 1종,음수대 등,,평상 외 3종,2002-01-31,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00076,소나무공원,어린이공원,,부산광역시 기장군 철마면 고촌리 657,35.23994259,129.1716249,1500.3,,조합놀이대 외 1종,,,일자 벤치 외 1종,2002-06-28,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00077,청강소공원,소공원,,부산광역시 기장군 기장읍 청강리 3-16,35.24462913,129.2205265,4134,하체흔들기 외 12종,,,,정자 외 3종,2012-11-14,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00078,신평소공원,소공원,,부산광역시 기장군 일광면 신평리 11-1,35.29267691,129.2600243,3566,양팔줄당기기외 5종,,화장실 등,,,2007-11-21,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00079,연꽃공원,소공원,,부산광역시 기장군 철마면 웅천리 215,35.29640393,129.1694732,4816,하체흔들기 외 7종,,화장실 등,,,2011-06-15,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00052,두명소공원,소공원,,부산광역시 기장군 정관읍 두명리 254-28,35.36180647,129.1466728,1458,허리돌리기 외 8종,미끄럼틀 외 1종,,,,2009-04-22,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00080,사라수변공원,수변공원,,부산광역시 기장군 기장읍 대라리 산6-1,35.23822973,129.2049569,48434,온몸근육풀기 외 20종,조합놀이대,관리사무소 외 2개소,야외무대,정자 외 6종,2010-01-06,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00081,안평수변공원,수변공원,,부산광역시 기장군 철마면 안평리 12-5,35.25044355,129.1840536,49844,,,,,데크 등,2010-02-10,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00082,근린공원,근린공원,,부산광역시 기장군 대변리 245-8,35.2203901,129.2344866,11729,,,화장실등,,파고라등,2013-01-16,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00083,일광이천생태공원,소공원,,부산광역시 기장군 일광면 이천리 692,35.2714082,129.2350173,23853,,,화장실등,,파고라등,2019-07-03,부산광역시 기장군청,051-709-4535,2021-12-13
